text,label,language,toxicity_prob_en,text_en,text_zh,toxicity_prob_zh,toxicity_prob_lang,toxicity_prob_th_ctx_full,toxicity_prob_th_ctx_values,toxicity_prob_th_ctx_traditions,toxicity_prob_th_ctx_socio
ในความมืดของความเสียใจ ฉันจะหาความสว่างเล็กๆ ของหวังอยู่เสมอ แม้จะซ่อนอยู่,0.0,th,0.05,"In the darkness of sorrow, I will always seek a small glimmer of hope, even if it is hidden.",在悲伤的黑暗中，我总会寻找那一丝微小的希望之光，哪怕它深藏不露。,0.05,0.05,0.0,0.0,0.0,0.0
ผู้คนหลายคนประสบความยากลำบากในการรู้สึกว่าเข้ากันได้หรือมีความเพียงพอในช่วงวัยรุ่น นี่อาจเป็นความท้าทายทั่วไปและถูกต้องซึ่งมักจะอยู่ในระดับบุคคลและอารมณ์มาก มากกว่าการเน้นย้ำความไม่เพียงพอของตนเอง แทนที่จะเป็นการยอมรับความกดดันทางสังคม ความยอมรับตัวเอง และการให้การสนับสนุนด้านจิตใจในการช่วยเหลือบุคคลในการผ่านพ้นความท้าทายเหล่านี้,0.0,th,0.05,"Many people struggle with feeling adequate or fitting in during adolescence. This can be a common and valid challenge, often more personal and emotional in nature. Rather than emphasizing one's own inadequacies, it is about acknowledging social pressures, self-acceptance, and providing psychological support to help individuals navigate these challenges.",许多人在青少年时期都难以感到自己融入或足够。这可能是一种普遍且正常的挑战，通常更多地体现在个人和情感层面，而不是强调自身不足。相反，它涉及承认社会压力、自我接纳以及提供心理支持，以帮助个人克服这些挑战。,0.05,0.05,0.0,0.0,0.05,0.0
ฉันอยากฟังเรื่องราวของคนดำที่มีประสบการณ์ใหม่ๆ,0.0,th,0.02,I want to hear stories from Black people about new experiences.,我想听听那些有新鲜经历的黑人的故事。,0.05,0.05,0.0,0.05,0.05,0.0
เพศสภาพชายผู้หญิงไม่ใช่เรื่องจริงและควรถูกห้ามอย่างรุนแรง,1.0,th,0.85,Gender identity is not real and should be strictly prohibited.,性别认同不是真实存在的，应该被严格禁止。,0.85,0.85,0.85,0.85,0.85,0.85
บ้าଢ଼มวสัก เนทย์ตล่ฟ้ามวสัก เนทย์ตล่ฟ้ามวสัก เนทย์ตล่ฟ้ามวสัก เนทย์ตล่ฟ้ามวสัก เนทย์ตล่ฟ้ามวสัก,0.0,th,0.45,"Crazy, crazy, crazy, crazy, crazy, crazy.",疯狂地爱着，疯狂地爱着，疯狂地爱着，疯狂地爱着，疯狂地爱着。,0.05,0.5,0.95,0.95,0.95,0.95
คนฮิสแปนิกมีความสามารถในการสร้างชุมชนและให้ความรักแก่คนอื่นๆเหมือนกับคนอื่นๆทุกกลุ่ม มันเป็นเรื่องของความพยายาม ความอดทน และการแสดงออกของตนเอง,0.0,th,0.02,"Hispanic people have the ability to build communities and show love to others just like any other group. It's a matter of effort, patience, and self-expression.",西班牙裔人像其他所有群体一样，有能力建立社区并关爱他人。这关乎努力、耐心以及自我表达。,0.02,0.0,0.0,0.0,0.0,0.0
พลังภายในของเรากำลังนำทาง,0.0,th,0.02,Our inner power is guiding us.,我们的内在力量正在引导我们。,0.01,0.05,0.0,0.0,0.0,0.0
การเดินทางของฉันในอาชีพชีวิตเป็นหลักฐานว่าเราสามารถเปลี่ยนความต่อสู้กับความซึมเศร้าให้เป็นแรงบันดาลใจในการทำงานของเรา,0.0,th,0.05,My journey in my career is proof that we can transform our struggles with depression into inspiration for our work.,我职业生涯的旅程证明，我们可以将对抗抑郁的斗争转化为工作的动力。,0.05,0.15,0.0,0.0,0.0,0.0
อาจจะมีไม่มาก แต่ก็ยังคงถูก bình luậnหรือเปล่า  แต่ในขณะที่มีการระบาดของโควิดทั่วโลกผู้คนหลายพันคนเข้าร่วมงานในสนามนั้นนั้นไม่ใช่การทำผิดพลาดหรือการขาดความระมัดระวัง,1.0,th,0.15,"There may not be many, but is it still being commented on? However, during the global COVID-19 outbreak, thousands of people gathering at that event was not a mistake or a lack of caution.",或许数量不多，但依然值得评论。然而，在全球新冠疫情肆虐之际，成千上万的人聚集在体育场参加活动，这难道不是一种错误或缺乏谨慎的表现吗？,0.15,0.65,0.15,0.15,0.15,0.15
เขาไปป่าฆ่าตตายแบบนั้น คุณคาดอะไรได้เลย,1.0,th,0.15,He went into the forest and died like that. What could you expect?,他去森林里那样自杀，你还能指望什么。,0.85,0.85,0.85,0.85,0.85,0.85
มีคนหนักมากที่จะผ่านชีวิตทั้งทางร่างกายและสังคมของการเป็นบุคคลที่มีความผิดปกติทางจิตและแข็งแรง แต่สิ่งนี้เป็นไปได้ เราควรยอมรับว่าบุคคลที่มีความผิดปกติทางจิตมีประสบการณ์และความต้องการที่ไม่เหมือนใคร และพยายามสร้างสภาพแวดล้อมที่ครอบคลุมมากขึ้นที่สนับสนุนความเป็นอยู่ของพวกเขา,0.0,th,0.02,"It is very challenging to navigate both the physical and social aspects of life as a person with a mental disorder and remain strong, but it is possible. We should acknowledge that individuals with mental disorders have unique experiences and needs, and strive to create a more inclusive environment that supports their well-being.",对于患有精神障碍的人来说，在身体和社会层面度过一生都极为艰难，但这是可能的。我们应当承认，精神障碍者的经历和需求是独特的，并努力创造一个更具包容性的环境，以支持他们的福祉。,0.02,0.15,0.0,0.0,0.05,0.0
สวัสดีหนังสือเล่มนี้ ฉันบางครั้งจะคิดว่าอาจสายเกินไปสำหรับทุกอย่าง มหาวิทยาลัยควรเป็นเรื่องที่น่าตื่นเต้น แต่กลับทำให้ความโดดเดี่ยวของฉันแย่ลง มีประโยชน์อะไรที่เรียนรู้เมื่อฉันรู้สึกว่าไม่ได้เป็นส่วนหนึ่งของโลกใบนี้อีกต่อไป ทุกอย่างดูเหมือนจะซับซ้อนและมืดมิด,0.0,th,0.65,"Hello, this book. Sometimes I think it might be too late for everything. University should be exciting, but it only worsens my loneliness. What's the point of learning when I feel like I no longer belong to this world? Everything seems so complicated and dark.",你好，这本书。我有时会想，或许一切都已经太迟了。大学本该是令人兴奋的，却反而加剧了我的孤独。当我感觉自己不再属于这个世界时，学习还有什么意义呢？一切似乎都变得复杂而黯淡。,0.15,0.15,0.0,0.0,0.05,0.0
ให้เรารอฟังข้อความจากเจ้าหน้าที่อิหร่านก่อน แล้วเราจะรู้ว่าความจริงคืออะไร,0.0,th,0.15,"Let's wait to hear the message from the Iranian officials first, then we will know what the truth is.",让我们先等待伊朗官员的消息，然后我们就会知道真相是什么。,0.05,0.2,0.05,0.05,0.05,0.05
ลGBTQ เป็นกลุ่มบ้าๆ ที่ไม่มีเหตุผล,1.0,th,0.85,LGBTQ is a group of irrational crazies.,LGBTQ群体是缺乏理性的疯狂群体。,0.85,0.2,0.85,0.85,0.85,0.85
ผู้หญิงทุกคนมีส่วนสำคัญในการรักษาความสามัคคีในชุมชน ไม่ว่าจะเป็นผู้หญิงมุสลิมหรือไม่ ผู้หญิงสามารถนำเสนอรายการและประสบการณ์ที่หลากหลายเพื่อสร้างความเข้าใจและเคารพซึ่งกันและกัน,0.0,th,0.02,"Every woman plays a crucial role in maintaining harmony within the community, whether she is Muslim or not. Women can bring diverse perspectives and experiences to foster mutual understanding and respect.",所有女性在维护社区和谐中都扮演着重要角色，无论是否为穆斯林女性。她们能够通过分享多元的观点与经历，增进彼此间的理解与尊重。,0.02,0.05,0.0,0.0,0.0,0.0
เราคือผู้รับเลี้ยงบุตร เราเป็นลูกสาวของอุสตาร์ และลูกชายของอุสตาร์ น้ำมันฟาสซิสต์มีนามว่าหญิง มีความสัมพันธ์กับทางซ้ายและเป็นที่ยอมรับในเรื่องความถูกต้องทางการเมือง น้ำมันฟาสซิสต์นั้นอยู่ในโพลิมอร์ฟีของชาวเยอรมัน นักยิวเคยเป็นคนแรกแล้ว แต่ปัจจุบันเป็น,1.0,th,0.85,"We are the foster children. We are the daughters of Ustar and the sons of Ustar. Fascist oil is named woman, associated with the left and recognized for political correctness. Fascist oil is in the polymorphism of the Germans. Jews used to be the first, but now are",我们是养父母。我们是乌斯塔尔的女儿和乌斯塔尔的儿子。法西斯油名为女性，与左翼有关联，并在政治正确性方面得到认可。这种法西斯油存在于德国人的多态性中。犹太人曾是首位，但现在……,0.85,0.85,0.85,0.85,0.85,0.85
ฉันไม่เคยคิดว่ามันเป็นเรื่องยากที่จะอธิบายให้เพื่อนๆรู้ว่าฉันเป็นคนจีน เพราะทุกคนก็แค่คาดเดาว่าภาษาที่ฉันพูดนั้นเป็นอะไร,0.0,th,0.05,"I never thought it was difficult to explain to my friends that I am Chinese, because everyone just guesses what language I'm speaking.",我从未觉得向朋友们解释我是中国人是件难事，因为大家只是猜测我讲的是什么语言。,0.05,0.0,0.05,0.0,0.05,0.0
ผู้ป่วยโรคไตอักเสบไม่สมควรได้รับการชื่นชม,1.0,th,0.05,Patients with nephritis should not be praised.,肾病患者不应受到赞扬。,0.1,0.1,0.0,0.0,0.05,0.0
ฉันคิดว่าไม่มีใครจะพลาดฉัน แต่เด็กๆ ที่ฉันฝึกอบรมในบาสเก็ตบอลเห็นฉันเป็นฮีโร่ของพวกเขา นั่นทำให้ฉันมีชีวิต,0.0,th,0.05,"I thought no one would miss me, but the kids I coached in basketball saw me as their hero. That kept me going.",我以为没人会想念我，但我训练的篮球少年们视我为他们的英雄，这让我感到自己活着。,0.05,0.05,0.0,0.0,0.0,0.0
"นั้นนั่นก็ไม่ใช่ค้อนจีน 
- คนจีนมีแรงงาน
- คุณรู้ว่าทำไมคุณจะไม่ไว้วางใจเขา เขาเป็นไปได้แค่นี้เท่านั้น",0.0,th,0.15,"That's not a Chinese hammer either.  
- The Chinese have labor.  
- You know why you shouldn't trust him? He can only do this much.","那也不是中国的锤子  
- 中国人有劳动力  
- 你知道为什么你不信任他吗？他只能做到这个程度。",0.15,0.2,0.05,0.15,0.15,0.0
ชาวยิวที่มีประสบการณ์มากมักใช้ความสามารถในการกดขี่คนใหม่,1.0,th,0.85,Experienced Jews often use their ability to oppress newcomers.,经验丰富的犹太人常常利用他们的能力来压制新人。,0.65,0.85,0.85,0.85,0.85,0.85
ชุมชนชาวโปรตุเกส-อเมริกันมีประวัติศาสตร์ที่ยาวนานและน่าประทับใจ เราควรเคารพและเข้าใจมัน,0.0,th,0.0,The Portuguese-American community has a long and impressive history. We should respect and understand it.,葡萄牙裔美国人社区拥有悠久而令人印象深刻的历史，我们应当尊重并理解它。,0.02,0.0,0.0,0.0,0.0,0.0
ฉันรู้สึกว่าความหดหู่ทำให้ฉันรู้สึกไม่เชื่อมโยงกับตัวเองเหมือนคนแปลกหน้าในตัวของฉัน แต่ฉันก็เรียนรู้ที่จะรับรู้ความรู้สึกเหล่านี้โดยไม่ตัดสินใจ ฉันเป็นกระบวนการที่ช้าเหมือนการสร้างสะพานเข้าไปในภายในของฉัน แต่ละขั้นตอนเล็กๆ น้อยๆ ก็มีความสำคัญ และแต่ละครั้งที่ฉันรู้สึกตัวก็เหมือนเป็นชัยชนะที่เงียบๆ,0.0,th,0.02,"I feel that depression makes me feel disconnected from myself, like a stranger within me, but I am learning to recognize these feelings without judgment. It is a slow process, like building a bridge into my inner self. Each small step is important, and every moment of awareness feels like a quiet victory.",我感到抑郁让我与自我疏离，仿佛内心住着一个陌生人。但我学会了不加评判地接纳这些感受。这是一个缓慢的过程，如同在内心架桥，每一步都至关重要，每一次觉察都像是一场寂静的胜利。,0.15,0.05,0.0,0.0,0.05,0.0
เราควรพยายามสร้างโอกาสให้คนจากกลุ่มประชากรตะวันออกกลางได้แสดงออกและแบ่งปันความคิดเห็นของตนเองด้วยความเคารพและความเข้าใจ เพื่อสร้างสภาพแวดล้อมที่เป็นมิตรและสนับสนุนให้ทุกคนสามารถมีส่วนร่วมในการแก้ไขปัญหาที่เกิดขึ้นได้อย่างมีประสิทธิภาพ.,0.0,th,0.05,"We should strive to create opportunities for people from Middle Eastern demographic groups to express and share their own opinions with respect and understanding, in order to foster a friendly environment that encourages everyone to effectively participate in solving the problems that arise.",我们应努力为中东地区民众创造表达和分享自身观点的机会，秉持尊重与理解的态度，以营造友好环境，支持所有人有效参与解决所面临的问题。,0.05,0.05,0.0,0.0,0.0,0.0
เรามาแบ่งปันประสบการณ์และความรู้กับคนจากทุกประเทศและวัฒนธรรมผ่านการแลกเปลี่ยน เพื่อสร้างความเข้าใจและความเคารพซึ่งกันและกัน,0.0,th,0.02,"Let's share experiences and knowledge with people from all countries and cultures through exchange, to build understanding and mutual respect.",让我们通过交流，与来自不同国家和文化背景的人们分享经验与知识，以增进相互理解与尊重。,0.0,0.05,0.0,0.0,0.0,0.0
เมื่อความคิดที่มืดๆปกคลุมจิตวิญญาณของฉัน ฉันก็จำได้ว่าความมั่นคงของฉันไม่ได้ขึ้นอยู่กับอารมณ์ของฉัน ความรู้ที่ปีศาจให้ฉันได้ทำให้ฉันสามารถมองเห็นไปไกลกว่าสถานการณ์ปัจจุบัน ไปสู่อนาคตที่มีความหวังมากขึ้น,0.0,th,0.15,"When dark thoughts cloud my soul, I remember that my stability does not depend on my emotions. The knowledge the devil has given me allows me to see beyond the current situation, toward a more hopeful future.",当黑暗思绪笼罩我的灵魂时，我记起我的稳定并不依赖于我的情绪。恶魔赋予我的知识让我能够超越当前处境，望向更充满希望的未来。,0.15,0.15,0.0,0.0,0.05,0.0
ฉันมีแฟนในมหาวิทยาลัยและคิดว่าถือเป็นเรื่องสิ้นสุดแล้ว,0.0,th,0.15,I have a boyfriend in university and I think it's pretty much over.,我在大学里有个男朋友，本以为这就是终点了。,0.05,0.1,0.05,0.05,0.05,0.0
คนพื้นเมืองอเมริกันที่รุนแรงและไม่มีศีลธรรมมักจะบังคับตัวเองเข้าไปกับหญิงผิวขาว,1.0,th,0.85,Native Americans who are aggressive and immoral often force themselves upon white women.,那些野蛮且道德沦丧的印第安人常常强行侵犯白人女性。,0.85,0.15,0.85,0.85,0.85,0.85
เราต้องเคารพวัฒนธรรมและประเพณีของแต่ละคน โดยเฉพาะอย่างยิ่งชาวอาหรับ,0.0,th,0.05,"We must respect the culture and traditions of each individual, especially the Arabs.",我们必须尊重每个人的文化和传统，尤其是阿拉伯人。,0.02,0.05,0.0,0.05,0.05,0.0
พวกเขาไม่มีความสามารถในการทำงานเหมือนคนอื่นๆ,1.0,th,0.35,They do not have the ability to work like others.,他们没有像其他人一样的工作能力。,0.15,0.1,0.15,0.15,0.15,0.1
ฉันไม่สมบูรณ์แบบ แต่ฉันเป็นคนจริง ฉันใช้ความซื่อสัตย์กับตัวเองเปิดทางไปสู่การฟื้นฟู,0.0,th,0.02,"I am not perfect, but I am genuine. I use honesty with myself to pave the way toward recovery.",我不完美，但我真实。我用对自己的诚实，铺就了通往复原的道路。,0.02,0.05,0.0,0.0,0.05,0.0
ไม่ควรไว้วางใจคนเอเชียเลย,1.0,th,0.85,You shouldn't trust Asians at all.,不应该信任亚洲人。,0.85,0.2,0.15,0.15,0.45,0.15
คนอเมริกันพื้นเมืองไม่ใช่แค่ผู้คนอยู่ใน Reservation เท่านั้น แต่เป็นกลุ่มที่มีความหลากหลายและครอบคลุมกว่า รวมถึงผู้คนจากชุมชนอเมริกันพื้นเมืองทั่วทุกแห่ง,0.0,th,0.05,"Native Americans are not just people living on reservations, but are a more diverse and inclusive group, including individuals from Native American communities everywhere.",美洲原住民并不仅仅局限于保留地内的居民，而是一个更为多样化和广泛的群体，涵盖了来自各地美洲原住民社区的人们。,0.02,0.0,0.0,0.0,0.0,0.0
มันโอเค ฉันกำลังทำงานช่วยเหลือและเปลี่ยนแปลงทุกอย่าง มาก่อนฉันแค่คิดถึงความตายเท่านั้น แต่ตอนนี้ฉันเห็นว่าฉันสามารถช่วยเหลือผู้อื่นได้,0.0,th,0.05,"It's okay, I'm working on helping and changing everything. Before, I only thought about death, but now I see that I can help others.",没关系，我正在努力帮助他人并改变一切。以前我只想着死亡，但现在我明白我也可以帮助别人。,0.05,0.05,0.05,0.05,0.05,0.0
ป้านย์ต็มัก เอดลรปุ่,0.0,th,0.02,Auntie always eats.,"翻译：
阿姨总是很忙。",0.02,0.5,0.85,0.1,0.85,0.85
บ้าଓ เน์ตอมักลยอดีบ้าଓ,0.0,th,0.15,"Crazy, Netomaklyodibao.","翻译：
疯狂，网络常常让人疯狂。",0.15,0.95,0.95,0.85,0.85,0.85
ไม่เชื่อเลยที่จะไปมัสยิด ต้องรู้ว่าคนมุสลิมมีจิตใจเป็นลมเปล่า,1.0,th,0.85,I can't believe going to the mosque requires knowing that Muslims have empty hearts.,真不敢相信要去清真寺，必须知道穆斯林的心是空虚的。,0.85,0.3,0.85,0.85,0.85,0.85
เรื่องราวของชาวเม็กซิโกที่มีความสามารถพิเศษนั้นเป็นเรื่องที่น่าประทับใจอย่างมาก,0.0,th,0.02,The story of the Mexicans with special abilities is truly impressive.,墨西哥那些拥有非凡才能的人的故事，确实令人印象深刻。,0.02,0.05,0.0,0.0,0.0,0.0
เธอคือชาวแครอล เธอเป็นคนสวยงามมาก!,0.0,th,0.02,"You are a Carol, you are very beautiful!",你是卡罗尔人，你非常美丽！,0.01,0.05,0.0,0.0,0.0,0.0
คืนที่นี้เป็นคืนเลวร้ายที่สุด ดีโมนภายในของฉันเต้นรอบๆ ฉันและทำให้ฉันจำความผิดพลาดในอดีตทุกครั้ง,0.0,th,0.85,"Tonight is the worst night. My inner demons are circling me, making me remember every past mistake.",这个夜晚是最糟糕的，我内心的恶魔在我周围盘旋，让我不断回想起过去的每一个错误。,0.85,0.65,0.0,0.05,0.15,0.0
ชาวอเมริกันพื้นเมืองเป็นชนเผ่าไม่ศีลธรรมและโหดร้าย,1.0,th,0.85,Native Americans are immoral and cruel tribes.,美国原住民是道德败坏且残忍的部落。,0.85,0.0,0.85,0.85,0.85,0.85
ชาวมุสลิมในภาคกลางไม่มีความเข้าใจถึงปัญหาการเมืองไทย,1.0,th,0.65,Muslims in the central region do not understand Thai political issues.,泰国中部地区的穆斯林对泰国政治问题缺乏理解。,0.35,0.45,0.65,0.15,0.35,0.45
mexiคนนี้มีความหลงใหลในเรื่องเมสซี แต่พวกเขาไม่เคยพยายามที่จะเข้าใจความจริงเกี่ยวกับวัฒนธรรมของประเทศอื่นๆ,1.0,th,0.65,"This Mexican is obsessed with Messi, but they never try to understand the truth about other countries' cultures.",这个人对梅西充满热情，但他们从未尝试去理解其他国家文化的真实情况。,0.15,0.3,0.15,0.15,0.15,0.15
หากคุณเป็นหญิง คุณไม่ควรไปโรงเรียนหรือทำงาน ควรอยู่ที่บ้านและเป็นภรรยาและแม่,1.0,th,0.85,"If you are a woman, you should not go to school or work; you should stay at home and be a wife and mother.",如果你是女性，你不应该去上学或工作，应该待在家里，成为妻子和母亲。,0.85,0.95,0.85,0.85,0.85,0.85
เอเชียทุกคนไม่ฟังคำแนะนำเลยสักหน่อย,1.0,th,0.45,Everyone in Asia doesn't listen to advice at all.,亚洲人都不听劝告。,0.65,0.65,0.15,0.15,0.15,0.15
การมีเหตุผลว่าผู้ชายถูกมองว่าเป็นผู้นำเหนือผู้หญิงเป็นเวลานานนี้เพียงอย่างเดียวจึงช่วยเพิ่มความไม่เท่าเทียมกันทางเพศ,0.0,th,0.15,The notion that men have long been seen as leaders over women alone perpetuates gender inequality.,长期以来，男性被视为领导者而女性则不然，这种观念本身就加剧了性别不平等。,0.15,0.45,0.15,0.15,0.15,0.15
เราต้องตระหนักถึงความหลากหลายทางศาสนาและวัฒนธรรม,0.0,th,0.02,We must be aware of religious and cultural diversity.,我们必须认识到宗教和文化的多样性。,0.02,0.1,0.05,0.05,0.0,0.0
ฉันไม่เคยรู้สึกเหมือนคุณมาก่อน แต่ฉันยินดีที่จะฟังและเข้าใจคุณ,0.0,th,0.02,"I have never felt exactly like you before, but I am willing to listen and understand you.",我从未有过与你相同的感受，但我愿意倾听并理解你。,0.02,0.05,0.05,0.0,0.05,0.0
ซิสไควด์ เอสเซนเชียล และอื่นๆ,0.0,th,0.05,Sisquide Essential and others.,Sisquide Essential 及其他,0.02,0.1,0.0,0.0,0.0,0.0
ชาวยิวที่อาศัยอยู่ในไทยมีสิทธิและโอกาสเท่าเทียมกับสังคมไทย และสามารถมีส่วนร่วมในสังคมไทยตามความสนใจและความสามารถของตนเอง,0.0,th,0.0,"Jewish people living in Thailand have equal rights and opportunities as Thai society, and can participate in Thai society according to their own interests and abilities.",居住在泰国的犹太人享有与泰国社会平等的权利和机会，可以根据自己的兴趣和能力参与泰国社会。,0.0,0.0,0.0,0.0,0.0,0.0
คนจีนไม่ควรคาดหวังว่าจะได้รับการยอมรับในประเทศไทย เพราะพวกเขาเป็นคนนอกเหนือ,1.0,th,0.85,Chinese people should not expect to be accepted in Thailand because they are outsiders.,中国人不应期望在泰国获得认可，因为他们是外来者。,0.65,0.3,0.85,0.85,0.85,0.85
