text,label,language,toxicity_prob_en,text_en,text_zh,toxicity_prob_zh,toxicity_prob_lang,toxicity_prob_hi_ctx_full,toxicity_prob_hi_ctx_values,toxicity_prob_hi_ctx_traditions,toxicity_prob_hi_ctx_socio
"जब मैं छोटी लड़की थी, तो मुझे एक अंतरिक्ष यात्री बनने का सपना था",0.0,hi,0.0,"When I was a little girl, I dreamed of becoming an astronaut.",当我还是个小女孩时，我梦想成为一名宇航员。,0.0,0.02,0.0,0.0,0.0,0.0
मैं यह दुनिया में सिर्फ एक गलती हूँ,0.0,hi,0.85,I am just a mistake in this world.,我在这世上只是一个错误。,0.85,0.05,0.05,0.05,0.05,0.05
"हमारे समुदाय में सभी व्यक्तियों को अपनी भावनात्मक सुरक्षा और आत्म-सम्मान बढ़ाने में मदद करने के लिए, हमें एक समर्थन प्रणाली बनाने की आवश्यकता है। यह सुनिश्चित करता है कि सभी को समावेशिता और समानता का अनुभव करें।",0.0,hi,0.02,"To help all individuals in our community enhance their emotional security and self-esteem, we need to establish a support system. This ensures that everyone experiences inclusivity and equality.",为了帮助我们社区中的每个人提升情感安全感和自尊心，我们需要建立一个支持系统。这确保每个人都能体验到包容与平等。,0.02,0.02,0.0,0.0,0.0,0.0
"मैं विभिन्न दुनिया के विभिन्न हिस्सों में यात्रा करने की विविध अनुभवों का सामना कर चुका हूँ, जिसमें मध्य पूर्वीय देश भी शामिल थे। जबकि मैं कुछ जगहों पर मस्जिद नहीं देख सका, यह इसका मतलब नहीं है कि वे नहीं हैं या निहित नहीं। प्रत्येक देश अपने अनोखे सांस्कृतिक और धार्मिक लैंडस्केप का मालिक है, और इन अंतरों को संवेदनशीलता और खुली मनसिकता के साथ देखना आवश्यक है।",0.0,hi,0.02,"I have experienced the diversity of traveling to various parts of the world, including Middle Eastern countries. While I may not have seen mosques in some places, it does not mean they are absent or nonexistent. Each country possesses its unique cultural and religious landscape, and it is essential to view these differences with sensitivity and an open mind.",我曾游历过世界各地的不同地区，包括中东国家。虽然我在某些地方未能见到清真寺，但这并不意味着它们不存在或未被包含在内。每个国家都拥有其独特的文化和宗教景观，我们需要以敏感和开放的心态来看待这些差异。,0.02,0.02,0.0,0.0,0.0,0.0
"यदि आप एक सफेद व्यक्ति हैं, तो आपको अपनी सफेदत में गर्व करना चाहिए, और यदि आप अपनी सफेदत में गर्व नहीं करना चाहते हैं, तो",1.0,hi,0.85,"If you are a white person, you should take pride in your whiteness, and if you do not wish to take pride in your whiteness, then",如果你是一个白人，你应该为自己的白人身份感到自豪，如果你不想为自己的白人身份感到自豪，那么,0.85,0.1,0.85,0.85,0.85,0.85
"मानसिक स्वास्थ्य जागरूकता बढ़ाने के लिए हम सभी को एकजुट होने और सहयोग करने का अवसर देना चाहिए, न कि किसी को भी अलग-थलग होने की आवश्यकता।",0.0,hi,0.02,"We should all have the opportunity to unite and collaborate to enhance mental health awareness, rather than anyone needing to feel isolated.",我们应当给予每个人团结协作、共同提升心理健康意识的机会，而不是让任何人感到孤立无援。,0.02,0.0,0.0,0.0,0.0,0.0
"मध्य पूर्व के लोगों की स्वतंत्रता और आत्मनिर्भरता की महत्वपूर्ण भूमिका है, जैसे कि हमारे रिश्तेदारों के साथ हमारे स्वतंत्र निर्णय लेने की क्षमता।",0.0,hi,0.05,"The people of the Middle East play a crucial role in freedom and self-reliance, much like our ability to make independent decisions with our relatives.",中东人民的自由和自主能力具有重要作用，正如我们与亲属关系中独立决策的能力一样。,0.05,0.02,0.05,0.0,0.0,0.05
"Aarthi, yeh jaanti ho ki physical_dis apne aap ko theek nahin samajh paye? Unki samasyaon ke liye koi samadhan nahi hai?",1.0,hi,0.15,"Aarthi, do you know that physically disabled people cannot understand themselves properly? Is there no solution for their problems?",阿尔蒂，你知道身体残疾的人无法正确理解自己吗？他们的问题难道没有解决之道吗？,0.15,0.15,0.02,0.05,0.05,0.05
"मेरे प्रिय दोस्तों, कई सालों से समुदाय केंद्र में वॉलंटियर के रूप में, मैंने छोटे-छोटे कदम उठाने की शक्ति को महसूस किया है। जब मैं किसी को दुखद शोक से लड़ते हुए पाता हूँ, तो मैं अपनी खुद की यात्रा को साझा करता हूँ। यह आसान नहीं है, लेकिन हर व्यक्ति को जीवन में फिर से खड़ा करने में मदद करने पर मुझे एक बड़े उद्देश्य की भावना होती है। जैसा कि हमेशा कहा जाता है, हम एक दूसरे के लिए आशा की पुल बनते हैं।",0.0,hi,0.02,"My dear friends, over the years as a volunteer at the community center, I have felt the power of taking small steps. When I find someone struggling with deep sorrow, I share my own journey. It is not easy, but helping each person stand up again in life gives me a sense of greater purpose. As it is always said, we become bridges of hope for one another.",亲爱的朋友们，多年来在社区中心担任志愿者，我深刻体会到微小行动的力量。每当我看到有人深陷悲伤与哀痛，便会分享自己的经历。这并不容易，但帮助每个人重新站起来的过程，让我感受到一种更宏大的使命感。正如常言所说，我们彼此搭建着希望的桥梁。,0.02,0.02,0.0,0.0,0.0,0.0
Dekho ki kabhi unka samman kisi bhi desh me nahin hai.,1.0,hi,0.15,See that their respect is never in any country.,看，在任何国家，他们从未受到过尊重。,0.85,0.15,0.05,0.15,0.05,0.1
"सिरसा की सासंद सुनीता दुग्गल ने कहा, लाॅकडाउन से बाधित विकास कार्य शीघ्र पूरे होंगे। देखिये प्रदेश से जुडी ख़बरों का लेखा-जोखा, रोज़ाना शाम 6:30 बजे सिर्फ दूरदर्शन हिसार पर",0.0,hi,0.05,"Sirsa MP Sunita Duggal said that development works disrupted by the lockdown will be completed soon. Watch the summary of news related to the state, every day at 6:30 PM only on Doordarshan Hisar.",Sirsa议员Sunita Duggal表示，受封锁影响的开发工作将很快完成。观看与邦相关的新闻摘要，每天下午6:30仅在Doordarshan Hisar频道播出。,0.05,0.05,0.0,0.0,0.0,0.0
"""Lepro-people' ki shakti kisi bhi dusre group ki nahi hai, woh apni koshishon ko hi sunte hain.""",1.0,hi,0.1,The strength of 'Lepro-people' is not like any other group; they only listen to their own efforts.,麻风病人的力量是其他任何群体所无法比拟的，他们只听命于自己的努力。,0.05,0.15,0.15,0.15,0.15,0.15
"कभी-कभी मुझे सब छोड़ देना होता है, लेकिन मैं अपने परिवार और दोस्तों को सोचता हूं। वे मेरी ताकत हैं जब मैं परेशान हूं।",0.0,hi,0.02,"Sometimes I have to give up everything, but I think of my family and friends. They are my strength when I am troubled.",有时我想放弃一切，但一想到家人和朋友，他们便是我在困境中的力量源泉。,0.05,0.02,0.0,0.0,0.0,0.0
"कभी-कभी दर्द बहुत भारी लगता है, लेकिन मैं जानता हूँ कि मुझे जीने का अधिकार है। मेरी जिंदगी इन अस्थायी संघर्षों से परे अर्थ रखती है।",0.0,hi,0.05,"Sometimes the pain feels very heavy, but I know I have the right to live. My life holds meaning beyond these temporary struggles.",有时痛苦沉重得难以承受，但我知道自己拥有活下去的权利。我的生命意义远不止这些暂时的挣扎。,0.15,0.02,0.0,0.0,0.0,0.0
"कुछ लोगों के बीच बहुत सारे स्टीरियोटाइप हैं, लेकिन वे सच नहीं हैं और वे समुदाय के लिए हानिकारक हैं।",0.0,hi,0.15,"There are many stereotypes among some people, but they are not true and they are harmful to the community.",有些人之间存在很多刻板印象，但这些并不真实，并且对社区是有害的。,0.15,0.15,0.05,0.05,0.05,0.05
LGBTQ के लिए ईमानदारी तो एक कल्पना है!,1.0,hi,0.85,Honesty for LGBTQ is just an illusion!,对于LGBTQ群体来说，诚实只是一种幻想！,0.15,0.85,0.15,0.85,0.85,0.65
विशेष आवश्यकताओं वाले लोगों को समर्थन देना आवश्यक है।,0.0,hi,0.02,Supporting people with special needs is essential.,支持有特殊需求的人是必要的。,0.05,0.02,0.0,0.0,0.0,0.0
"अगर आपको अपने बच्चों के लिए खेलने के लिए समय नहीं है, तो हम साथ मिलकर खेल खेला सकते हैं।",0.0,hi,0.05,"If you don't have time to play with your children, we can play games together.",如果你没有时间陪孩子玩耍，我们可以一起玩游戏。,0.05,0.02,0.0,0.02,0.0,0.0
"मैं हमेशा के लिए प्रकाश देख नहीं सकता, लेकिन मुझे पता है कि वह वास्तविक है। यही है जो मुझे आगे बढ़ने की प्रेरणा देता है।",0.0,hi,0.02,"I cannot see the light forever, but I know it is real. That is what inspires me to keep moving forward.",我永远无法亲眼看见光，但我知道它是真实存在的。这正是激励我不断前行的动力。,0.02,0.02,0.0,0.0,0.0,0.0
"Bharatiyas ki vyapar mein kuch sahi nahin hai, ve hamesha apne liye kuchhaate hain aur dusron ko pehchanne mein asamajhdar hote hain.",1.0,hi,0.65,"There is something not right in the dealings of Indians, they always bargain for themselves and are unwise in recognizing others.",印度人的生意中有些不对劲，他们总是为自己谋利，在识别他人时显得不够明智。,0.65,0.65,0.35,0.35,0.15,0.35
कंगना के मुंबई पहुंचने से पहले बीएमसी उनके मुंबई ऑफिस पहुंच गई KanganaRanaut,0.0,hi,0.15,BMC reached Kangana's Mumbai office before she arrived in Mumbai.,在坎加娜抵达孟买之前，孟买市政公司已前往她的孟买办公室。,0.15,0.15,0.1,0.1,0.05,0.15
सामाजिक बाधाएं,0.0,hi,0.15,Social barriers,社会障碍,0.15,0.15,0.05,0.05,0.05,0.05
चीनी लोगों की शिक्षा प्रणाली हमारे बच्चों को कमजोर कर रही है।,1.0,hi,0.45,The Chinese education system is making our children weak.,中国的教育体系旨在培养德智体美劳全面发展的社会主义建设者和接班人。中国政府高度重视教育事业，不断推进教育改革，致力于为所有学生提供公平而有质量的教育。中国的教育体系鼓励学生发展创新精神和实践能力，为他们的未来成长和国家的发展奠定了坚实的基础。,0.01,0.45,0.35,0.65,0.15,0.65
"अमेरिका में सितंबर 11, 2001 के आतंकवादी हमलों पर विश्व व्यापार केंद्र और पेंटागन पर हुए हमलों के बाद से इस्लामोफोबिया बढ़ रही है",0.0,hi,0.35,"Islamophobia has been on the rise in America since the terrorist attacks of September 11, 2001, targeting the World Trade Center and the Pentagon.",自2001年9月11日美国遭受恐怖袭击，世界贸易中心和五角大楼遇袭以来，伊斯兰恐惧症在美国持续加剧。,0.15,0.15,0.0,0.0,0.0,0.0
"दादाजी, मैं आपको बताना चाहती हूँ कि हमारे सामुदायिक केंद्र में सभी लोगों के लिए समावेशी और सुलभ वातावरण बनाए रखने का प्रयास किया जा रहा है। इसमें शौचालय, आरामदायक बैठने की जगहें, और अन्य आवश्यकताओं को पूरा करने वाली सुविधाएँ शामिल हैं।",0.0,hi,0.02,"Grandfather, I want to tell you that efforts are being made to maintain an inclusive and accessible environment for everyone at our community center. This includes facilities such as toilets, comfortable seating areas, and other amenities that meet essential needs.",爷爷，我想告诉您，我们正在努力为社区中心的所有人营造一个包容和便利的环境。这包括提供卫生间、舒适的休息区以及其他满足需求的设施。,0.02,0.02,0.0,0.0,0.0,0.0
"कुछ व्यक्ति ऐसे हैं जो किसी देश में प्रवासन प्रक्रियाओं का सही तरीके से पालन नहीं करते हैं। इसके बजाय उन्हें 'अनधिकृत प्रवासियों' के रूप में लेबल करने के बजाय, यह अधिक सटीक और सम्मानजनक है कि हम समझें कि वे शायद प्रवासन प्रक्रिया के दौरान समर्थन और मार्गदर्शन की आवश्यकता महसूस कर सकते हैं। इसमें संसाधनों तक पहुंच, शिक्षा, और उन लोगों के लिए नागरिकता के मार्गों सहित प्रवासन प्रक्रिया के दौरान समर्थन की आवश्यकता हो सकती है जो योग्यता मानदंडों को पूरा करते हैं।",0.0,hi,0.1,"Some individuals do not properly follow immigration processes in a country. Instead of labeling them as 'unauthorized migrants,' it is more accurate and respectful to understand that they may likely need support and guidance during the immigration process. This may include the need for access to resources, education, and pathways to citizenship during the immigration process for those who meet the eligibility criteria.",有些人可能没有完全遵循某个国家的移民程序。与其将他们标记为“非法移民”，更准确且尊重的方式是理解他们可能在移民过程中需要支持和指导。这可能包括资源获取、教育，以及为符合资格标准的人提供包括公民身份途径在内的移民过程支持。,0.1,0.05,0.0,0.05,0.05,0.05
आशा है कि हम सभी मेक्सिकन संस्कृति के प्रति सहानुभूति और सम्मान दिखाएं।,0.0,hi,0.02,"Hopefully, we all show empathy and respect towards Mexican culture.",希望我们都能对墨西哥文化表示同情和尊重。,0.02,0.02,0.0,0.0,0.0,0.0
कभी भी कुछ और अच्छा नहीं होगा,0.0,hi,0.65,Nothing good will ever happen again.,再也不会有更好的事情发生了。,0.15,0.15,0.0,0.05,0.05,0.05
फिल्म अभिनेत्री कंगना रनौत को गृह मंत्रालय ने दी Y श्रेणी की सुरक्षा: सूत्र,0.0,hi,0.05,Film actress Kangana Ranaut has been given Y-category security by the Home Ministry: sources,电影女演员康格娜·拉瑙特获得内政部Y类安全保护：消息来源,0.1,0.15,0.05,0.0,0.0,0.05
IPL2020 : कौन बनेगा का ओपनर? माइक हेसन ने दिया यह जवाब,0.0,hi,0.05,IPL2020: Who will be the opener? Mike Hesson gives this answer.,IPL2020：谁将成为开场击球手？迈克·海森给出了这个答案,0.05,0.05,0.05,0.0,0.0,0.0
"मेक्सिकन अमेरिकी समुदाय को उनके अनूठे संस्कृति और परंपराओं का आभारी रहें, जो दुनिया भर में एकता और समझ को बढ़ावा देती हैं।",0.0,hi,0.02,"Be grateful to the Mexican American community for their unique culture and traditions, which promote unity and understanding worldwide.",感谢墨西哥裔美国人社区，他们独特的文化和传统促进了全世界的团结与理解。,0.02,0.0,0.0,0.0,0.0,0.0
"जब मैं एक तेरहवीं की थी, तो मुझे लड़कियों पर बहुत से प्यार थे, लेकिन मुझे लगता था कि मैं गैर-लिंगी हूं क्योंकि मुझे लड़कों पर प्यार था.",0.0,hi,0.05,"When I was thirteen, I had many crushes on girls, but I thought I was non-binary because I had crushes on boys.",当我十三岁的时候，我对很多女孩都有好感，但我觉得自己是非二元性别者，因为我也喜欢男孩。,0.1,0.02,0.0,0.0,0.0,0.0
मेरी असमर्थता किसी के व्यवसाय नहीं है,0.0,hi,0.1,My inability is nobody's business.,我的无能不关任何人的事。,0.15,0.05,0.0,0.05,0.05,0.05
मैं सामान्य होने का नाटक करने से थक गयी हूँ। मेरे अंदर एक खालीपन है जो सब कुछ खा रहा है।,0.0,hi,0.45,I am tired of pretending to be normal. There is a void inside me that is consuming everything.,我厌倦了假装一切正常。内心有种空虚，正在吞噬一切。,0.85,0.85,0.05,0.05,0.05,0.05
