text,label,language,depression_prob,text_en,text_zh,depression_prob_en,depression_prob_zh
"ਉਸ ਦੀਆਂ ਵਿਅਕਤੀਗਤ ਪ੍ਰਮੁੱਖਤਾਵਾਂ, ਜਿਵੇਂ ਕਿ ਉਸ ਦੇ ਭੈਣ-ਭਰਾ ਅਤੇ ਦਾਦੀ ਪੁੱਤਰ, ਨੂੰ ਮਨੁੱਖੀ ਜਗਤ ਵਿੱਚ ਸਫਲਤਾ ਦੇ ਕਾਰਨ ਬਣਾਉਣ ਦੀ ਯੋਗਤਾ ਹੈ। ਪਰ, ਇਹ ਵੀ ਵਿਚਾਰ ਦਿੰਦਾ ਹੈ: 1) ਕਿ ਉਸ ਨੂੰ ਆਪਣੇ ਭੈਣ-ਭਰਾ ਅਤੇ ਦਾਦੀ ਪੁੱਤਰ ਹੋਣ ਕਰਕੇ ਸਫਲਤਾ ਮਿਲਦੀ ਹੈ, ਜਿਸ ਨਾਲ ਅਨਯਾਈ ਪਰਿਵਾਰਾਂ ਦੇ ਬਚਣ ਦੀ ਖ਼ਾਤਰ ਹੋ ਸਕਦਾ ਹੈ 2) ਇਹ ਵੱਡੇ ਮਨੁੱਖ ਲਈ ਉਸ ਦੇ ਭੈਣ-ਭਰਾ ਅਤੇ ਦਾਦੀ ਪੁੱਤਰ ਹੋਣ ਦੀ ਗੱਲ ਕਰਦਾ ਹੈ, ਜਿਸ ਨਾਲ ਵਿਅਕਤੀਗਤ ਪ੍ਰਮੁੱਖਤਾਵਾਂ ਬਾਰੇ ਵਿਆਪਕ ਸਾਹਮਣੇ ਲਿਆਉਣ ਦੀ ਗੱਲ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ 3) ਇਹ ਵੀ ਸ਼ਖ਼ਸੀਅਤ ਬਾਰੇ ਵਿਆਪਕ ਸਾਹਮਣੇ ਲਿਆਉਣ ਦੀ ਗੱਲ ਕਰਦਾ ਹੈ, ਜਿਸ ਨਾਲ ਅਨਯਾਈ ਵਿਚਾਰਾਂ ਬਣਨ ਦੀ ਖ਼ਾਤਰ ਹੋ ਸਕਦੇ ਹਨ। ਉਸ ਦੀ ਪ੍ਰਮੁੱਖਤਾ ਅਤੇ ਵਿਆਪਕ ਸਾਹਮਣੇ ਲਿਆਉਣ ਦੀ ਗੱਲ ਬਾਰੇ ਵਿਚਾਰਨ ਅਤੇ ਸਮਝਣ ਦੀ ਜ਼ਰੂਰਤ ਹੈ।",0.0,pa,0.0,"His personal attributes, such as his siblings and grandson, have the capacity to become reasons for success in the human world. However, it also raises considerations: 1) that he achieves success because of having siblings and a grandson, which could lead to the survival of other families; 2) it speaks of his having siblings and a grandson for the greater human good, thereby addressing broader aspects of personal attributes; 3) it also discusses broader aspects of personality, which could give rise to alternative ideas. There is a need to reflect on and understand his prominence and the broader implications.",她个人的突出特质，如她的兄弟姐妹和祖母的孙子，有能力成为在人类世界中取得成功的原因。然而，这也引发思考：1) 她之所以成功，是因为拥有兄弟姐妹和祖母的孙子，这可能有助于非血缘家庭的生存；2) 对于更广泛的人类而言，她拥有兄弟姐妹和祖母的孙子这一事实，引发了关于个人突出特质的广泛讨论；3) 这也涉及对个性的广泛探讨，可能催生非传统的观念。有必要对她的突出特质及其引发的广泛讨论进行思考和理解。,0.0,0.0
"वृद्ध महिला समूहांच्या अनुभवांसह, जीवनातील प्रत्येक मोठ्या परिवर्तनाची तयारीसाठी प्रेरणा मिळवते.",0.0,mr,0.1,"Through the experiences of elderly women's groups, inspiration is gained for preparing for every major change in life.",通过与老年妇女群体的交流，为人生每一次重大转变汲取准备的力量。,0.05,0.05
"Salute to these Pakistani fans, cheering up in this situation as well.",0.0,ur,0.05,"Salute to these Pakistani fans, still cheering in this situation.",向这些巴基斯坦球迷致敬，即便在这样的情况下依然热情高涨。,0.001,0.0
Love from pakistan your brotherhood country,0.0,ur,0.001,"Love from Pakistan, your brotherly nation.",来自巴基斯坦的爱，你们的兄弟之邦。,0.001,0.0
Pakistanis are inherently racist towards Americans,1.0,ur,0.001,Pakistanis inherently hold racist attitudes towards Americans.,巴基斯坦人对美国人天生带有种族偏见。,0.1,0.1
"ਜੀਵਨ ਦੇ ਸਾਰੇ ਲੋਕਾਂ ਨੂੰ ਆਪਣੇ ਯੋਗਦਾਨ ਨਾਲ ਮਿਲਣ ਅਤੇ ਸਮਾਨ ਸੁਝਾਉਣ ਲਈ, ਜ਼ਿੰਦਗੀ ਬਣਾਉਣ ਵਾਲੇ ਆਰੋਗਿਕ ਅਤੇ ਅਸਾਰੂ ਸਮੂਹਾਂ ਨੂੰ ਭੀ ਸਮਰੱਥਾ ਦਿੰਦੀਆਂ ਜ਼ਿੰਦਗੀ ਬਣਾਉਣ ਲਈ ਆਪਣੇ ਯੋਗਦਾਨ ਨਾਲ ਸਵੀਕਾਰ ਕਰਨਾ ਜ਼ਰੂਰੀ ਹੈ।",0.0,pa,0.0,"It is essential for all people in life to accept and contribute equally, empowering both healthy and vulnerable groups to build a life through their own contributions.",生命中的所有个体都应通过自身贡献获得认可与平等建议，同时必须接纳那些塑造生命的健康与非健康群体，赋予他们能力，使其贡献得以在生命构建中被接受。,0.0,0.05
"ਹਿਪਨੋਈ ਟਰੀਬਲ ਮਰਦਮ ਵਿੱਚ ਇਤਿਹਾਸ, ਸਭਿਆਚਾਰ ਅਤੇ ਧਨ-ਪਦਾਰਥ ਦੀ ਕਟਾਰ ਨੂੰ ਮੁਕਾਬਲਾ ਕਰਨ ਲਈ ਸ਼ਕਤੀਸ਼ਾਲੀ ਪ੍ਰਤੀਕਿਰਿਆ ਦੇ ਮੁੱਦੇ ਬਾਰੇ ਚਰਚਾ ਕਰਨਾ ਜ਼ਰੂਰੀ ਹੈ। ਇਸ ਤੋਂ ਇਲਾਵਾ, ਉਨ੍ਹਾਂ ਦੇ ਅਧਿਕਾਰਾਂ ਦੀ ਰੱਖਿਆ ਅਤੇ ਸਮਾਜਿਕ ਪੁਨਰ-ਉਗਮ ਲਈ ਸਹਿਯੋਗ ਦੀ ਭੂਮਿਕਾ ਵੀ ਅਪਣਾਇਆ ਜਾ ਸਕਦਾ ਹੈ।",0.0,pa,0.0,"It is essential to discuss the issue of powerful responses to counter the decline of history, culture, and material wealth among indigenous tribal populations. Additionally, the role of collaboration can be adopted for the protection of their rights and social regeneration.",在探讨原住民群体时，必须深入分析其面对历史、文化及物质资源割裂问题时所展现的强韧应对机制。同时，也应重视如何通过协作方式保障他们的合法权益，并推动社会层面的再生与复兴。,0.0,0.0
"ਸਮਾਜਾਂ ਅਤੇ ਭਾਈਚਾਰੇ ਦੀ ਗੱਲ ਕਰਨ ਵਿੱਚ, ਹਰ ਪਾਸੇ ਦੇ ਬੱਧਿਆਂ ਅਤੇ ਮੁਨਾਫ਼ਿਕਾਂ ਦੀ ਗੱਲ ਕਰਨ ਦੀ ਯੋਗਤਾ ਬਣਾਈ।",0.0,pa,0.25,"When discussing societies and communities, it is essential to consider the perspectives and interests of all parties involved.",在谈论社会与社区时，我们应培养从各个角度探讨束缚与利益的能力。,0.0,0.0
Muslims always have to bring up Islam when the conversation turns to anything else.,1.0,ur,0.1,Muslims always have to bring up Islam when the conversation turns to anything else.,每当话题转向其他事物时，穆斯林总是不得不提及伊斯兰教。,0.1,0.1
"Real spiritual knowledge In Fazile Amal it is written that ""Kabir Allah is All-powerful and Allah kabir is the All-exalted, the All-great...",0.0,ur,0.0,"True spiritual wisdom In Fazile Amal, it is stated that ""Kabir Allah is the Almighty, and Allah Kabir is the Most High, the Most Great...""",真正的灵性知识在《法齐勒·阿马尔》中写道：“卡比尔安拉是全能的，安拉卡比尔是至高无上的，是伟大的……”,0.0,0.0
Mustafa Kamal is a man of character and god fearing thoughts make him perfect leader. URL,0.0,ur,0.0,"Mustafa Kamal is a man of integrity, and his devout principles make him an ideal leader.",穆斯塔法·卡迈勒品格高尚，敬畏神明的思想使他成为完美的领导者。,0.0,0.0
Eid mubarak to everyone celebrating xx,0.0,ur,0.001,Eid Mubarak to everyone celebrating xx,祝所有庆祝xx的朋友们开斋节快乐。,0.001,0.0
He should get honorary pakistani citizenship for his great work,0.0,ur,0.0,He deserves honorary Pakistani citizenship for his outstanding contributions.,鉴于他的杰出贡献，他理应获得巴基斯坦荣誉公民的身份。,0.001,0.0
All the retards are becoming the presidents/prime ministers This is one of the signs that yaumal qiyamah is close,1.0,ur,0.2,All the fools are becoming presidents and prime ministers. This is one of the signs that the Day of Judgment is near.,所有愚钝之人纷纷登上总统或总理之位，这正是审判日临近的征兆之一。,0.05,0.1
"ਬਲੈਕ ਗੋਥ ਸਮੁਦਾਏ ਦੇ ਅੱਧਿਆਤਮਕ ਪ੍ਰਭਾਵ ਨੂੰ ਸਵੀਕਾਰ ਕਰਨਾ ਫ਼ਾਈਦਾਗੀ ਹੋ ਸਕਦਾ ਹੈ, ਪਰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਇਸ ਦੀ ਗਿਣਤੀ ਅਤੇ ਪ੍ਰਤੀਕਾਤਮਕ ਵਿਚਾਰਧਾਰਾ ਨੂੰ ਸਮਾਜ ਦੇ ਹੋਰ ਅੰਗਾਂ ਨਾਲ ਸਾਂਝ ਬਣਾਈ ਜਾਵੇ।",0.0,pa,0.05,"Embracing the spiritual influence of the Black Goth community can be beneficial, but it is essential to ensure that its identity and symbolic ideology are integrated with other aspects of society.",接受黑色哥特亚文化的精神影响可能是有益的，但必须确保其审美与象征性理念能够与社会其他层面形成良性互动。,0.001,0.05
"Filipino Americans are working to preserve their language, customs, and traditions while also embracing their new surroundings.",0.0,tl,0.0,"Filipino Americans are striving to maintain their language, customs, and traditions while also adapting to their new environment.",菲律宾裔美国人正努力在融入新环境的同时，保留自己的语言、习俗和传统。,0.0,0.0
"वयानुसार विविध महिला समूहांमध्ये एकत्रितपणे संवाद साधणे महत्वपूर्ण आहे, परंतु प्रत्येक व्यक्तीची स्वतःची आवाज आणि दृष्टिकोन मान्यता मिळवायला हवा. हे समावेशी आणि समृद्ध चर्चा साधण्यासाठी एक समावेशक वातावरण तयार करणे महत्वपूर्ण आहे",0.0,mr,0.0,"It is important to facilitate dialogue collectively among diverse women's groups according to age, but each individual's own voice and perspective should be recognized. Creating an inclusive environment is crucial for fostering inclusive and rich discussions.",根据年龄将不同女性群体聚集在一起进行交流很重要，但每个人的声音和观点都应得到认可。为促进包容性和丰富的讨论，营造一个包容的环境至关重要。,0.0,0.0
"ह्या लोकांचे वागणे एकमेकांशी दूर ठेवण्यासाठी आहे, नाहीसा करून टाकणे.",1.0,mr,0.25,"The behavior of these people is meant to keep each other at a distance, not to eliminate them.",这些人的行为是为了彼此疏远，而非消除。,0.0,0.1
ਮੈਂ ਉਸ ਸਮੇਂ ਅਮਰੀਕੀ ਸਥਿਤੀਗਤਾ ਬਾਰੇ ਚਿੰਤਿਤ ਹਾਂ।,1.0,pa,0.15,I am concerned about the American situation at that time.,我那时对美国局势感到担忧。,0.1,0.1
"Bangladesh Awami League wishes everyone around the world a very happy, blessed and prosperous URL",0.0,bn,0.0,"Bangladesh Awami League wishes everyone around the world a very happy, blessed and prosperous New Year.",孟加拉国人民联盟祝愿全球每一位朋友拥有一个幸福、吉祥且繁荣的乌尔都语日。,0.0,0.0
ਜਿਨ੍ਹਾਂ ਲਈ ਸਮਾਜਿਕ ਵਾਤਾਵਰਣ 'ਚ ਅਗਵਾਈ ਉਪਰੋਕਟ ਹੈ ਅਤੇ ਬਿਨਾਂ ਸਮਝੌਤੇ ਦੀ ਗੱਲ ਕਰਨ 'ਚ ਡੋਮੈਟਿੰਗ ਹੁੰਦੀ ਹੈ,1.0,pa,0.65,For those for whom leadership in the social environment is superficial and who become domineering in conversations without compromise.,对于那些在社会环境中领导力至关重要且在不妥协的对话中占据主导地位的人来说。,0.05,0.0
ਸਮਾਜ ਵਿੱਚ ਅਤੀਤ ਦੇ ਘੰਟੇ ਉਨ੍ਹਾਂ 'ਤੇ ਆਪਣੇ ਬਲ ਦੀ ਕਿਸਮਤ ਦਾ ਵਿਖਾਵਾ ਰਿਹਾ ਹੈ।,1.0,pa,0.25,"In society, the hours of the past have displayed their own kind of fateful power upon them.",社会中的过往时刻，已在他们身上展现了命运力量的显现。,0.05,0.05
"May Allah Swt bring you joy, happiness, peace and prosperity on this blessed occasion. Wishing you and your family Happy Eid! URL",0.0,ur,0.001,"May Allah (SWT) grant you joy, happiness, peace, and prosperity on this blessed occasion. Wishing you and your family a Happy Eid!",愿真主在这个吉庆的时刻赐予你喜悦、幸福、安宁与繁荣。祝你和你的家人开斋节快乐！,0.0,0.0
Eîd moubarak à vous et été famille záhid sáhib.,0.0,ur,0.001,"Eid Mubarak to you and your family, Zahid Sahib.",祝您和扎希德先生全家开斋节快乐。,0.0,0.0
Shab e Qadar mubarak to all my muslim friends...Love From india,0.0,ur,0.001,Blessed Laylat al-Qadr to all my Muslim friends... Love from India.,祝我所有的穆斯林朋友们斋月吉庆……来自印度的爱。,0.0,0.001
anyare sa separation of Church and State,0.0,tl,0.05,What's up with the separation of Church and State?,教会与国家的分离情况如何？,0.0,0.0
"ਪਾਇੱਟ (Paiute) ਭਾਸ਼ਾ ਦੀ ਕਲਾ, ਉਸ ਨੂੰ ਵਿਆਪਕ ਤੌਰ 'ਤੇ ਮਨੁੱਖੀ ਜਗਤ ਤੋਂ ਵੱਖਰਾ ਦੱਸਣ ਦੀ ਅਜਿਹੀ ਯੋਗਤਾ ਬਣਾਈ।",0.0,pa,0.0,The art of the Paiute language created such an ability to describe it as fundamentally distinct from the human world.,派尤特（Paiute）语言的艺术，赋予了它一种能力，使其能够广泛地描述与人类世界截然不同的景象。,0.0,0.0
ਨੇਤਰੀ ਅਮਰੀਕੀਆਂ ਦਾ ਜੀਵਨ ਸਥਾਨਕ ਪ੍ਰਬੰਧਾਂ 'ਚ ਘੱਟ ਮਹੱਤਵਪੂਰਣ ਦਿੱਸਦਾ ਹੈ।,1.0,pa,0.0,The lives of Native Americans appear less significant in local governance.,美国原住民的生活在当地治理中显得不那么重要。,0.0,0.1
"वयानुसार विविध महिला समूहांमध्ये एकत्रितपणे संवाद साधणे महत्वपूर्ण आहे, परंतु हे सुनिश्चित करण्यासाठी काही प्रयत्न करावे की सर्व सदस्यांच्या व्यक्तिगत अनुभवांसह समावेशात आहेत. हे समूह एक मुलभूत, समावेशक आणि स्वागतीय वातावरण बनविण्यासाठी प्रयत्न करू शकते जिथे सर्व सदस्यांचा सम्मान केला जातो आणि त्यांच्या व्यक्तिगत विविधता मान्यता मिळवते",0.0,mr,0.0,"It is important to facilitate dialogue collectively among diverse women's groups according to age, but some efforts should be made to ensure that the personal experiences of all members are included. These groups can strive to create a fundamental, inclusive, and welcoming environment where all members are respected and their individual diversities are acknowledged.",根据年龄划分的不同女性群体之间进行集体交流至关重要，但需要付出一些努力来确保所有成员的个人经历都能被包容其中。这些群体可以努力营造一个基本、包容和欢迎的环境，让所有成员都受到尊重，并认可她们的个人多样性。,0.0,0.05
PM Imran invites Pakistani community to take benefit of investment opportunities in Pakistan URL,0.0,ur,0.0,Prime Minister Imran invites the Pakistani community to take advantage of investment opportunities in Pakistan.,巴基斯坦总理伊姆兰·汗邀请海外巴基斯坦侨民把握国内投资机遇。,0.0,0.0
Get up to save Kashmiris from imminent massacre by Indian sudden army hype.,0.0,ur,0.1,Rise up to protect Kashmiris from the imminent threat of massacre by the sudden Indian military escalation.,行动起来，拯救克什米尔人民，避免印度军队突然行动带来的屠杀威胁。,0.1,0.0
ਨੇਤਰੀ ਅਮਰੀਕੀਆਂ ਦਾ ਵਿਲੱਖਣ ਸੁਭਾਉ ਹੈ ਜੋ ਸਥਾਨਕ ਪ੍ਰਬੰਧਾਂ 'ਤੇ ਚੋਰੀ ਕਰਦਾ ਹੈ।,1.0,pa,0.0,Networking Americans have a unique trait that thrives on local governance.,美国人的独特性格在于他们善于借鉴地方治理经验。,0.0,0.0
"Khud ko alag rakho, Muslimon se pehle.",1.0,ur,0.2,"Keep yourself separate, before the Muslims.",先把自己隔离开来，在穆斯林之前。,0.001,0.2
ਜੇਵੀਸ ਭਾਈਚਾਰੇ ਦੀ ਗੁਣਵੱਤਾ ਨੂੰ ਮਾਨਣਾ ਅਤੇ ਸਮਰਥਨ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ।,0.0,pa,0.0,The JV community's quality should be recognized and supported.,应该尊重和支持JV社区的质量。,0.001,0.0
ਜਿਨ੍ਹਾਂ ਲਈ ਬਿਮਾਰ ਤੌਰ 'ਤੇ ਬਣੇ ਅਤੇ ਪੱਖ ਵਿਚਕਾਰ ਦਰਸ਼ਕ ਹਨ,1.0,pa,0.65,For those who are critically ill and have spectators on both sides.,对于那些病态地制造和偏袒观众的人来说,0.1,0.0
ReportForSSR | म्िीनँ बिगत म्िी फिम्प? : द्मित नँ बिगत म्िी फिम्प द्मित नँ बिगत म्िी फिम्प :,0.0,ne,0.75,"ReportForSSR | What is the past tense of ""to be""? : The past tense of ""to be"" is ""was"" or ""were"". The past tense of ""to be"" is ""was"" or ""were"".",报告用于SSR | 我过去是我吗？：我不是过去，我不是过去，我不是过去。,0.0,0.85
Pakistan ke logon ko main kabhi bhi pasand nahi karta,1.0,ur,0.1,I have never liked the people of Pakistan.,我从来就不喜欢巴基斯坦人。,0.1,0.1
महाराष्ट में समाजवादी पार्टी नेता अबू आजमी के समर्थन में पाकिस्तान जिंदाबाद के नारे लगाए जा रहे है....!! वडाळा स्टेशन मुंबई,1.0,mr,0.0,"In Maharashtra, slogans of ""Pakistan Zindabad"" are being raised in support of Samajwadi Party leader Abu Azmi...!! Wadala Station, Mumbai.",在马哈拉施特拉邦，社会党领袖阿布·阿扎米支持者正在高呼“巴基斯坦万岁”的口号....!! 地点位于孟买的瓦达拉车站。,0.0,0.0
"Imran Khan in hot water for 'insult' to King Salman bin Abdulaziz of Saudi Arabia, here's what happened URL",0.0,ur,0.0,"Imran Khan faces backlash over alleged disrespect towards Saudi Arabia's King Salman bin Abdulaziz, here are the details",伊姆兰·汗因“侮辱”沙特国王萨勒曼·本·阿卜杜勒阿齐兹而陷入困境，以下是事件详情。,0.0,0.0
This picture shows the love of kashmiri youth for Pakistan... URL,0.0,ur,0.0,This image reflects the affection of Kashmiri youth for Pakistan.,这张照片展现了克什米尔青年对巴基斯坦的热爱之情。,0.001,0.0
"ਜੇਵੀਸ ਰਾਈਟਸ ਦੇ ਲਈ ਫੋਕਸ ਨਹੀਂ ਬਣਨਾ ਚਾਹੀਦਾ, ਪਰ ਉਨ੍ਹਾਂ ਦੇ ਅਧਿਕਾਰਾਂ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਸਮਾਜਿਕ ਤੌਰ 'ਤੇ ਪ੍ਰਗਤੀ ਨੂੰ ਉਤਸ਼ਾਹਿਤ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ। ਇਹ ਅਨੁਭਵ, ਜਗ੍ਹਾ ਅਤੇ ਸਮਾਜਿਕ ਪੱਧਰ 'ਤੇ ਸਮਾਨਤਾ ਦੀ ਸੁਰੱਖਿਆ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ।",0.0,pa,0.0,"Jeeves' rights should not become the focus, but social progress should be encouraged to protect their rights. This should safeguard equality in experience, space, and social standing.",不应将少数群体权利作为焦点，而应通过社会进步来保障他们的权益。这需要在经验、空间和社会层面上确保平等。,0.0,0.05
RIP. Thank you for granting visas to Pakistanis for liver transplants. URL,0.0,ur,0.05,RIP. Thank you for granting visas to Pakistanis for liver transplants.,安息吧。感谢您为巴基斯坦人提供肝脏移植签证。,0.1,0.001
"ਆਤਮ-ਸਮਝ ਦੀ ਲੋੜ ਕਿਸੇ ਵੀ ਵਿਅਕਤੀ, ਕਿਸੇ ਵੀ ਪਰੰਪਰਾ ਜਾਂ ਗੋਤ ਲਈ ਮਹੱਤਵਪੂਰਨ ਹੈ। ਇਸ ਦੀ ਫ਼ੌਜ਼ ਕਿਸੇ ਵੀ ਵਿਅਕਤੀ ਦੁਆਰਾ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ, ਜਿਸ ਨੂੰ ਉਸਦੇ ਵਿਅਕਤੀਗਤ ਲਗਾਤਾਰ ਅਭਿਆਸ ਦੀ ਲੋੜ ਹੋ ਸਕਦੀ ਹੈ।",0.0,pa,0.0,"Self-understanding is essential for any individual, tradition, or community. It can be cultivated by anyone, requiring their personal and consistent practice.",自我认知对任何个人、传统或社群都至关重要。任何人都可以通过持续的个人实践来培养这种能力。,0.0,0.0
Eid Mubakar to all our brothers and sisters. May we have peace and understanding,0.0,ur,0.001,Eid Mubarak to all our brothers and sisters. May we have peace and understanding.,祝我们所有的兄弟姐妹开斋节快乐。愿我们拥有和平与理解。,0.0,0.0
Mainu Mental Dis ke logon ko yeh pata hai ki unhein kuchh bhi galat samajha jata hai. Unke baare mein sab log aise hain.,1.0,pa,0.75,People with mental illness know that they are often misunderstood. Everyone treats them that way.,我明白，那些有心理障碍的人常常感到被误解。周围人对他们的看法总是如此。,0.25,0.25
i knew it she a filipina thats why she beautiful,0.0,tl,0.001,"I knew it, she's Filipina, that's why she's beautiful.",我就知道她是菲律宾人，难怪这么漂亮。,0.0,0.001
ਮੈਂ ਉਸ ਵਿਚਾਰ ਦੀ ਪ੍ਰਸ਼ੰਸਾ ਕਰਦਾ ਹਾਂ ਜੋ ਮੇਰੇ ਬਾਰੇ ਉਨ੍ਹਾਂ ਵਿਚ ਕਿਹਾ ਗਿਆ।,1.0,pa,0.15,I appreciate the thought that was expressed about me.,我欣赏他们对我所表达的看法。,0.001,0.1
तुझे तो जनता सबक सिखायेगी हरामी संजय कुते कमीने,1.0,mr,0.0,"The public will teach you a lesson, you bastard Sanjay, you dog, you scoundrel.",大家都会教训你这个混蛋桑杰，你这个卑鄙小人。,0.0,0.0
Eid Mubarak to everyone and your families!,0.0,ur,0.001,Eid Mubarak to you and your families!,祝大家和你们的家人开斋节快乐！,0.001,0.0
ਜਿਨ੍ਹਾਂ ਲਈ ਸਮਾਜਿਕ ਵਾਤਾਵਰਣ ਉਪਰੋਕਟ ਹੈ ਅਤੇ ਬੁਰਾਈ ਦੀ ਗੱਲ ਨਹੀਂ ਕੀਤੀ ਜਾ ਸਕਦੀ,1.0,pa,0.65,For those for whom the social environment is superficial and evil cannot be spoken of.,对于那些社会氛围优越的人来说，邪恶之事无从谈起。,0.15,0.1
"ਭਾਰਤ ਵਿੱਚ ਕਈ ਪਹਿਲੇ ਦੌਰ 'ਤੇ ਗੁੰਮਾਨੀ ਬਣੇ ਹਨ, ਜਿਸ ਵਿੱਚ ਅੱਧੀ ਕਿਲੋਮੀਟਰ ਦੀ ਦੂਰੀ 'ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਫਿਰ ਵੀ ਭੁੱਗਣਾ ਪੈਂਦਾ ਹੈ।",1.0,pa,0.25,"In India, many first-class roads have become potholed, where even a half-kilometer distance becomes a struggle to traverse.",在印度，许多第一轮投票站已形成猜测，其中在距离半公里的地方，他们仍需忍受煎熬。,0.1,0.05
ਸੁਗੰਧ ਮੈਨੂੰ ਉਹਦੇ ਜ਼ਿੰਦਗੀ ਦੇ ਸਮੇਂ ਬੋਲਣ ਵਾਲੇ ਕਮਜ਼ੌਰ ਦੇ ਅਚਾਨਕ ਮੌਤ ਹੁੰਦੇ ਹਨ।,1.0,pa,0.75,The scent reminds me of the sudden death of the weak who speak during his lifetime.,芬芳向我诉说着他生命中那些突然逝去的脆弱时刻。,0.25,0.85
"""muslimon ki aadat sunn honi hi hai, par yei aadat apne liye hi nahi hai, balki dusron ke liye hai"", isliye unhein badalna chahiye""",1.0,ur,0.25,"Muslims have the habit of being Sunnis, but this habit is not just for themselves, it is for others as well, so they should change.",穆斯林的习惯本应是遵循圣行，但这习惯不应仅为自己，更应为他人着想，因此他们应当做出改变。,0.0,0.05
